Title,Date,Rating,Review
Incredible wood-fired pizza,2025-06-09,5,The crust had blistered edges and a chewy center. Fresh mozzarella and basil tasted bright and clean.
Undercooked rice,2025-03-05,2,"Paella flavor was promising but the rice was firm in the middle. Seafood quality seemed good, execution was off."
Thoughtful wine pairings,2025-11-11,5,Server suggested pairings that genuinely improved each course. Felt like a polished experience without being stiff.
Tiny portions,2025-02-03,2,"Food was tasty, but portions were surprisingly small. Needed a second stop afterward."
Great late-night option,2025-03-10,4,Kitchen stayed open past 10 and the quality held up. Smash burger and fries were exactly what we wanted after an event.
Outstanding tacos,2025-01-09,5,House-made tortillas were soft with great corn flavor. Al pastor had a nice char and balanced sweetness.
Too much sauce,2025-03-09,3,"Pasta itself was well cooked, but the cream sauce overwhelmed the dish. Would order it again with sauce on the side."
Very fresh ingredients,2025-02-21,5,"You can taste the difference in the produce. The grain bowl had crisp greens, ripe tomatoes, and perfectly cooked quinoa."
Rushed service,2025-08-21,2,"Plates were cleared while we were still eating and the check arrived without asking. Food was decent, pace felt pushy."
Comfort food done right,2025-12-12,4,Meatloaf and mashed potatoes tasted homemade in the best way. Rich gravy and well-seasoned vegetables.
Great value lunch special,2025-12-08,5,"Soup, half sandwich, and drink for a fair price. Quick turnaround made it perfect for a workday break."
Dry chicken,2025-09-23,2,Seasoning was good but the chicken breast was overcooked and dry. Sides were better than the main plate.
Excellent hospitality,2025-11-01,5,Host accommodated a last-minute table change gracefully. Team stayed attentive even when the room filled up.
Good but inconsistent,2025-08-21,3,"Appetizer was excellent, entree was just okay, dessert was solid. Quality varied across courses."
Best soup in town,2025-10-07,5,Tomato bisque had deep roasted flavor and a silky texture. Grilled cheese accompaniment was crisp and buttery.
Soggy fries,2025-08-21,2,"Burger was flavorful, but fries arrived limp and lukewarm. Replacement fries were slightly better."
Great seafood platter,2025-04-02,5,"Oysters were briny and clean, shrimp were firm, and cocktail sauce had a nice horseradish kick."
Crowded but efficient,2025-04-06,4,"Even with a full house, tickets moved steadily and food came out hot. Nice teamwork from the floor staff."
Dessert too sweet,2025-05-23,3,"Cheesecake texture was spot on, but sweetness level was high. Coffee helped balance it out."
Excellent Korean fried chicken,2025-08-08,5,Crunch held up under the glaze and the spice level was balanced. Pickled radish on the side was a smart touch.
Bland seasoning,2025-02-20,2,"Portions were generous, but flavors were muted. Needed salt, acid, and a bit more heat."
Creative seasonal menu,2025-10-24,5,Autumn squash ravioli with sage brown butter was rich and fragrant. Thoughtful use of seasonal produce.
Great patio dining,2025-03-17,4,"Comfortable seating, heaters that actually worked, and attentive outdoor service. Food quality matched indoor visits."
"Long wait, good payoff",2025-05-21,4,"We waited 45 minutes, but the kitchen delivered. Brisket was smoky and tender with a solid bark."
Inattentive service,2025-05-11,2,Water glasses stayed empty and we had to flag someone down repeatedly. Food was okay but service needs work.
Outstanding pho,2025-05-04,5,"Clear, aromatic broth and thinly sliced beef cooked perfectly in the bowl. Herbs and lime were fresh and generous."
Decent chain alternative,2025-08-23,3,"Better quality than most chain spots nearby, though the menu plays it safe. Reliable for a quick dinner."
Best fried rice nearby,2025-09-18,5,"Wok hei came through clearly and each grain stayed separate. Good balance of egg, scallion, and protein."
Mushy vegetables,2025-10-31,2,"Stir-fry sauce tasted good, but the vegetables were overcooked and lost texture."
Great espresso drinks,2025-10-16,4,Flat white had smooth microfoam and balanced coffee flavor. Pastries were fresh even in the late afternoon.
Excellent ribeye,2025-12-15,5,"Ordered medium rare and it arrived exactly right. Strong sear, juicy center, and a peppercorn sauce that complemented well."
Unbalanced flavors,2025-08-28,3,Some dishes were overly acidic while others were flat. Interesting ideas that need tighter execution.
Fantastic hospitality,2025-08-28,5,Staff remembered our dietary request from a previous visit. That attention to detail made a big difference.
Cramped seating,2025-09-08,3,"Food was solid, but tables were packed tightly and it felt hard to relax. Better as takeout."
Great noodle texture,2025-07-21,4,Hand-pulled noodles had excellent chew and the chili oil added depth without dominating the bowl.
Burnt crust,2025-12-17,2,"Flatbread toppings were good, but the base was charred enough to taste bitter."
Excellent value dinner,2025-09-29,5,Three-course prix fixe felt generous and well-paced. Every course was above expectations for the price.
Forgot one entree,2025-09-19,1,"Our table's last dish came after everyone else had finished. Team apologized and comped dessert, but timing was rough."
Top-notch dumplings,2025-07-07,5,"Wrappers were thin and delicate, filling stayed juicy, and the black vinegar dip tied everything together."
Nice but forgettable,2025-09-30,3,"No major complaints, just didn't find a signature dish that would bring us back soon."
